,KOUN%TOTQ,KOEMPTOTO,KOEMPWREP,KOPOPACTE,KOHWRWEMP,KOIMPCONA,KOWRCCNSE,KOWRCDURE,KOWRCSEME,KOWRCNODE,KOCREU..A,KOCSMTTOA,KOCONPRCF,KOCPCOREF,KOCPEXFEF,KOMSCONGG,KOPICONGG,KOSIAI..E,KOSIAWRTE,KOSIAHOTE,KOMPCONDG,KOMPCONNG,KOMPCONGG,KOBSIHAPR,KOBSIBNER,KOBSIBNMR,KOBSIEMAR,KOCNFCONR,KOCSHHLMR,KOCSHHEMR,KOCSPHIMR,KOCSPSPMR,KOCSECDMR,KOCSECEMR,KOCSEMEMR,KOCSEOHSR,KOCSEOHDR,KODBLNHSA,KOCALL.,KOLRLTHH,KOUS$...,KOCNPER.D,KOEXPGDSA,KOEXCHINA,KOIMPGDSA,KOEXPPRCF,KOIMPPRCF,KONETTRDF,KOPROPRCF,KOPPSRM.F,KOEQUIPTE,KONEWCONA,KOVALCONA,KOPSMANUG,KOPIMANUG,KOIPALL.G,KOCYLEADR,KOROCOINF,KOBSESI.R,KOCOBUSIR,KOCNFBUSR,KOBSIXMER,KOBSIBCOQ,KOBFDSAAF,KOBFXSAAF,KOBSIBCEQ,KOGDP...D,KOCNGOV.D,KOEXNGS.D,KOIMNGS.D,KOEMPMANF,KOEMPCONF,KOIMPGDDA,KOEQUIMAE,KOEQUITTE,KOCONPMTH,KOCONSTRP,KOMSCAPGG,KOPICAPGG,KOSIARRLE,KOSSBFMBE,KOIPMIMAG,KOMPRI30G,KOMPCAPGG,KOBSIIMPR,KOBSIIMER,KOBFINAAF,KOBUSINVR,KODBLNEQA,KOLRLTCO,KO3YEARC,KOSHRPRCF,KOGFCF..D,KOGCFCNSD,KOGCFFNVD,KOBSIBAPR,KOEXPMOVH,KOEXPSCOH,KOIPCHXPG,KOIPCOMPG,KOIPVECHG,KOIPXBSBG,pmiall,pmiout,KORFBEV_agg,KORWHLS_agg,KORMCMP_agg,KORELEC_agg,KORCNST_agg,KORMACH_agg,A001_agg,GSCITOT_agg,KOBDY10_agg,KOCBNG3_agg,KORCOMP_agg,USSKORW_agg,USEPUPO_agg
1985-11-30,,0.277384317,,,-0.818254987,,,,,,,,-1.206044769,-0.2524457,,2.417036093,-5.743204909,,,,2.469261259,2.507363755,2.043866768,,,,0.0,,,,,,,,,,,1.174285072,-0.3,,-0.141317416,,14.19021176,,17.22661125,-0.299401421,0.539980544,,-0.594414272,1.002421611,,15.32116364,,0.888894742,-3.36166108,,0.619197025,1.273902578,,,,,-7.9,-3.0,4.0,-1.3,,,,,0.165615458,,,,,-47.09481075,,-6.062462182,-2.871010588,,,-0.904983552,,-4.211148535,,,,,2.558665628,,0.0,5.489245941,,,,,,,233.2,-91.6,158.9,268.8,,,-0.0328599036,0.0,0.050927236,0.12,-0.0013222858,0.02,,2.416844785,,,5.143321277,,128.792
1985-12-31,,-1.18449948,,,1.029415116,,,,,,,,0.604840554,0.47281412,,4.380262266,0.98040001,,,,10.9619725,2.446029757,4.243918328,,,,0.0,,,,,,,,,,,1.815435141,-0.7,,-0.011224226,6.876154594,21.50105048,,17.685266,0.239592807,0.825087189,,0.49559027,0.662741748,,-14.26721719,,6.010392407,1.694955831,,0.615386557,1.257878221,,,,,2.9,6.0,4.0,1.8,12.51255947,4.532140854,-11.3574334,-0.507893985,1.060234248,,,,,-7.471733982,,10.66097351,9.265883048,,,7.020425867,,15.87483891,,,,,3.936785174,,0.4,9.314566356,15.32019437,13.95312644,19.51841557,,,,234.2,-69.3,170.5,286.2,,,0.01893643175,0.1,0.13373686,0.1,-0.022566369,0.1,,-0.659157091,,,9.912728334,,106.9375
1986-01-31,,-0.285480973,,,0.166201311,,,,,,,,0.900456309,0.626961301,,1.699757637,1.452810056,,,,-1.652930195,1.841672679,2.462504731,,,,0.0,,,,,,,,,,,0.115862437,0.4,,-0.039294716,,-63.01413796,,-41.64481737,1.504234202,-0.10276437,,0.177812948,-1.032838396,,-3.75578007,,0.0,4.115807249,,1.219527309,0.623054975,,,,,9.1,-16.0,-20.0,4.7,,,,,-0.516562964,,,,,-101.0,,20.27115125,8.479653666,,,1.680711832,,16.06823817,,,,,-0.305178333,,0.5,-1.82221911,,,,,,,235.1,-69.3,168.6,276.0,,,0.0515027374,-0.02,0.0523431052,0.1,-0.0349620799999999,0.04,,-8.745692278,,,-1.82221911,-0.011218938,111.548
1986-02-28,,0.748679173,,,-0.555778272,,,,,,,,0.562822211,0.280855232,,1.394722748,3.774032798,,,,15.41506798,0.0,2.929636949,,,,0.0,,,,,,,,,,,0.577307084,0.6,,-0.465975676,,12.7724711,,4.624139783,0.284439405,-1.679666239,,-0.673403218,-5.369650764,,-7.505438114,,0.0,3.953083876,,0.604231446,1.234583582,,,,,-3.0,11.0,10.0,3.4,,,,,0.217544623,,,,,75.40849777,,-5.6618894,19.84509387,,,0.829880281,,-5.623971832,,,,,0.905586399,,-0.5,9.217712467,,,,,,,233.2,-69.3,193.2,286.8,,,0.052186289,0.125,0.1026622724999999,0.15,-0.001399044,0.15,,-4.237810055,,,11.30857618,-0.602285062,117.1275
1986-03-31,,-0.257758412,,,0.09835648,,,,,,,,0.197889247,0.155690519,,4.865824675,-1.398624197,,,,2.353049741,2.700434119,2.846246466,,,,0.0,,,,,,,,,,,0.510378787,0.1,,-0.228150724,8.63,10.78717884,,-0.446662367,-0.294262105,-4.228688962,,-0.91835343,-11.03284955,,35.33834367,,3.278982282,0.772204609,,0.600602406,0.611622702,,,,,-2.8,7.0,4.0,-2.3,6.374509897,8.002175383,70.54529493,103.0,1.592352581,,,,,84.400013,,-2.955880224,8.311490671,,,2.449102001,,-5.95920972,,,,,1.598384119,,-0.5,12.71441454,15.95662207,-10.41319854,42.10895621,,,,239.8,-51.1,197.4,279.7,,,0.053514173,0.125,0.1223135902499999,0.175,0.134505824,0.175,,2.403990973,,,11.15286177,-0.305071031,77.455
1986-04-30,,1.308061362,,,1.160197866,,,,,,,,-0.098895673,0.341668293,,2.088848795,5.480823649,,,,8.040042544,2.109041266,3.262522732,,,,0.0,,,,,,,,,,,0.414885655,1.4,,0.138985429,,-0.272964803,,2.521162952,-0.551616844,-2.049658531,,-0.502665178,-5.800681927,,2.085624804,,6.252035698,-3.12525435,,1.190490251,0.607904608,,,,,-2.9,-6.0,-3.0,2.6,,,,,0.764907945,,,,,4.958999194,,12.22176327,-13.79231432,,,3.953083876,,14.66034742,,,,,2.719539865,,-0.3,1.564588501,,,,,,,,,,,,,0.1527606202499999,0.125,0.10307753725,0.1,-0.0094863805,0.05,,4.217786379,,,2.430927555,0.005699252,41.9275
1986-05-31,,0.354214337,,,-2.578612573,,,,,,,,0.591912284,0.710647205,,3.053672386,0.0,,,,2.960046978,0.865806274,1.956052585,,,,0.0,,,,,,,,,,,0.916781727,-0.8,,0.181632599,,15.71910565,,1.309777864,0.78709576,1.327159493,,0.120870281,-0.231749814,,-10.06808047,,0.754720564,0.790517951,,1.176484158,1.80185055,,,,,4.0,1.0,5.0,-4.1,,,,,2.252689671,,,,,-19.91912201,,-8.299691957,-1.418463499,,,1.538491884,,-11.21172981,,,,,3.345516142,,-0.3,12.3009771,,,,,,,243.4,-51.1,200.1,274.1,,,0.0308315302,0.02,0.0306058864,0.02,-0.0542898494,0.06,,-1.646338826,,,13.93341701,0.23693715,192.046
1986-06-30,,0.417005739,,,0.840598164,,,,,,,,-0.196915062,0.827844679,,1.739174271,-1.342302033,,,,2.469261259,0.687287929,1.203383956,,,,1.0,,,,,,,,,,,1.123934739,-0.3,,0.127284521,10.34452701,6.366184288,,-3.459476992,-0.039207999,-0.484582446,,-0.322645975,-1.731847638,,-0.868901756,,0.749067173,0.0,,1.1628038,1.183445765,,,,,0.0,-5.0,-4.0,5.8,16.17376432,3.85370463,40.74751231,15.40795675,1.64508684,,,,,4.237195608,,2.843793532,-2.166149678,,,2.264247675,,9.684982599,,,,,2.860423443,,0.7,5.876952651,19.98430716,16.92481773,20.58393775,,,,246.0,-35.7,202.8,284.5,,,0.0534160235,0.175,0.15348980725,0.2,0.019655754,0.125,,3.675119008,,,11.76367111,0.191623755,159.555
1986-07-31,,0.916127146,,,0.174880237,,,,,,,,0.098506,0.365742559,,-0.24660925,4.836107169,,,,4.374454896,0.852520082,1.66077364,,,,-1.0,,,,,,,,,,,1.56888511,0.7,,-0.372171087,,-8.499671652,,4.934273295,0.097991189,-0.976266906,,0.100938739,-5.084610052,,2.227382785,,-1.503787736,1.56253179,,0.576370472,0.586511945,,,,,5.3,2.0,-10.0,-2.4,,,,,2.24375646,,,,,-15.78746315,,-0.938974035,-3.717900324,,,-0.749067173,,-3.922071315,,,,,2.427230132,,-0.6,11.76734526,,,,,,,,,,,,,-0.034791377,0.075,0.040385604,0.05,0.0832571215,0.0,,1.311620078,,,5.312602585,-0.440150751,143.17000000000002
1986-08-31,,1.394076933,,,0.650072055,,,,,,,,-0.098506,-0.030427507,,1.713628224,1.279335146,,,,0.388350003,1.013522189,0.936775,,,,0.0,,,,,,,,,,,0.848064488,-1.2,,-0.302137255,,0.672185179,,-4.686367521,0.146806975,-0.536553936,,0.0,-5.93524557,,9.159847584,,4.445176257,1.538491884,,0.573067471,1.1628038,,,,,5.3,-1.0,9.0,2.4,,,,,0.358171114,,,,,11.99959431,,2.790878812,7.302513501,,,2.963179761,,5.448818528,,,,,3.205765217,,0.5,-3.331598862,,,,,,,241.6,-35.7,209.2,272.1,,,0.017323102,0.08,0.0286705437999999,0.06,0.0033616802,-0.02,,7.620007364,,,-0.75771698,-0.485142216,66.974
1986-09-30,,-1.242661199,,,-34.78838892,,,,,,,,0.589585724,0.334194447,,2.63488297,-3.448617607,,,,9.248731272,0.836824967,2.985296315,,,,0.0,,,,,,,,,,,1.069056078,0.1,,-0.370143711,10.92676743,7.616932928,,-1.004712733,-0.127220255,1.997403289,,0.261964885,5.686551088,,-15.5963849,,1.438873745,-3.101023674,,0.569802111,0.576370472,,,,,-8.5,3.0,1.0,2.7,17.85202767,10.27139184,29.12571416,5.792948603,-2.991927681,,,,,25.90058196,,2.715098907,-4.317217187,,,1.44930073,,-1.526747213,,,,,2.956768485,,-0.1,-4.373272759,3.820168241,2.795170387,6.542442462,,,,243.4,-35.7,212.8,280.9,,,-0.032638481,0.0,0.00208850775,0.0,0.0153584295,-0.025,,-1.700020928,,,-3.8723944,-0.366985074,276.985
1986-10-31,,1.162784159,,,34.60858493,,,,,,,,-0.984582946,-0.334194447,,1.873591106,2.59754864,,,,-4.702493864,1.652930195,0.451468035,,,,1.0,,,,,,,,,,,1.369748463,0.0,,-0.510909228,,2.636353611,,1.26656282,0.537136894,0.809721023,,-0.8894338,2.070059132,,9.756938931,,0.711746777,0.0,,1.129955525,0.573067471,,,,,0.4,1.0,5.0,-2.9,,,,,3.42743857,,,,,-39.54234228,,-2.715098907,0.0,,,-0.722024797,,0.0,,,,,1.941125309,,0.6,-5.124138059,,,,,,,238.0,-22.3,202.8,278.5,,,-0.0484421828,-0.06,-0.0772765814,-0.1,-0.0369622546,-0.08,,1.912864748,,,-6.143817834,-0.462244896,81.554
1986-11-30,,1.56595565,,,0.835577271,,,,,,,,-0.165043774,0.060845758,,-0.698489452,2.531780798,,,,4.702493864,-0.32840752,1.119832531,,,,-1.0,,,,,,,,,,,1.25782893,-0.2,,-0.600912348,,-0.325445906,,-0.144928549,0.126539171,0.348129159,,-0.101574412,1.308475174,,3.894061654,,0.0,2.3347364,,0.560225555,0.569802111,,,,,-2.5,-3.0,-9.0,-1.9,,,,,2.189524476,,,,,-15.66755126,,0.913248356,-0.73801073,,,0.722024797,,3.774032798,,,,,1.750188601,,-0.7,10.14490593,,,,,,,249.3,-22.3,206.7,284.5,,,0.033348374,0.125,0.0698748035,0.075,0.02390026,0.125,,3.366287402,,,13.33433065,-0.585233181,57.2025
1986-12-31,,-0.694629825,,,-0.386385302,,,,,,,,0.0,0.0,,3.21866865,-2.10534092,,,,4.15284587,1.469414194,1.766050315,,,,2.0,,,,,,,,,,,1.553234224,-0.3,,-0.565207863,8.925188388,6.834529346,,25.2291928,0.058348733,0.195291372,,0.101574412,0.719600131,,4.663770159,,1.408473988,0.766287275,,0.557104505,0.566573754,,,,,8.0,2.0,6.0,6.8,6.021339103,6.03700891,9.045455493,17.87015207,1.795336989,,,,,19.64121339,,1.80185055,1.470614739,,,3.533936645,,0.0,,,,,2.849660483,,-0.3,2.266795877,8.152359705,-9.084957609,20.5887917,,,,,,,,,,0.01514553275,-0.025,0.06217384625,0.075,-0.00256807275,0.0,,-0.00045,,,1.468327421,-0.786280521,50.9525
1987-01-31,,-0.841990045,,,0.091192287,,,,,,,,0.362737413,0.212669076,,0.451468035,-0.854706058,,,,1.680711832,0.967749488,2.378490502,,,,-1.0,,,,,,,,,,,0.927328289,-0.3,,-0.666189414,,-18.53431257,,-35.76982644,0.967499807,1.078061325,,0.101471343,1.470963652,,-10.95367334,,-0.701757266,4.478360263,,0.554018038,0.563381772,,,,,-7.2,-13.0,-14.0,-9.2,,,,,2.593391328,,,,,-72.52056751,,5.218575317,21.58175112,,,0.0,,1.470614739,,,,,0.606912907,,0.37,11.56082569,,,,,,,248.5,-22.3,212.8,268.1,,,0.08603614,-0.08,0.0472360784,0.12,-0.1265473054,-0.02,,5.227561756,,,11.56082569,-0.748441258,73.92
1987-02-28,,3.96973396,,,-0.327639854,,,,,,,,0.197303583,0.212217754,,1.119832531,1.279335146,,,,2.955880224,1.907848011,1.062709257,,,,0.0,,,,,,,,,,,0.802062411,0.1,,-0.28570615,,1.167646844,,17.18443531,0.891450907,2.436303108,,0.202634315,5.051579014,,19.77679624,,2.777956411,2.166149678,,0.550965581,1.11733006,,,,,4.8,11.0,12.0,1.9,,,,,2.128224598,,,,,56.35739497,,5.762911284,13.2059722,,,0.692044284,,4.286370443,,,,,0.856383468,,0.08,8.322997337,,,,,,,251.0,-10.5,215.2,266.7,,,0.23184708325,0.1,0.09102100725,0.025,0.102748254,0.05,,-5.7927674,,,9.605564473,-0.256738871,77.605
1987-03-31,,-0.905125802,,,-0.24436348,,,,,,,,0.785344351,0.513518724,,3.070416634,9.299625667,,,,6.271647387,0.314465668,3.326710098,,,,0.0,,,,,,,,,,,0.623569881,0.1,,-0.502251818,4.136594751,21.98935119,,13.4357681,0.380989126,2.091823193,,0.323363257,-0.358905724,,3.562477874,,2.702867239,3.509131981,,1.092907053,1.104983619,,,,,-8.2,3.0,4.0,3.8,11.37524745,4.456473898,22.15266999,6.755415736,0.596361402,,,,,39.04109439,,11.33286853,1.025650017,,,4.054609439,,6.103589059,,,,,0.058744375,,-0.03,19.73275706,23.67521833,42.99141246,4.591601466,,,,254.2,-10.5,240.7,272.1,,,0.19282725,0.075,0.12312143475,0.025,0.16382410425,0.075,,6.091612521,,,18.45534227,-0.491859136,91.7475
1987-04-30,,-0.35704377,,,0.63175132,,,,,,,,0.584987044,0.540866703,,4.848156981,3.78833179,,,,4.748666627,2.020270732,2.024360628,,,,0.0,,,,,,,,,,,0.78332304,-0.4,,-1.317308622,,0.535869804,,6.453762433,0.208926952,0.816497698,,0.783844833,0.134740645,,-11.21443222,,2.631730832,1.369884436,,0.542006747,1.092907053,,,,,1.2,-1.0,-1.0,-8.9,,,,,1.18618002,,,,,-1.694769297,,-5.884050002,0.0,,,1.96727656,,1.307208157,,,,,1.520746023,,-0.23,-12.19167869,,,,,,,,,,,,,0.0151291547499999,0.025,0.0043676729999999,0.0,0.12916239675,-0.05,,5.233929015,,,-6.46374736,-1.367708635,53.4425
1987-05-31,,0.18775924,,,0.028734754,,,,,,,,1.511525803,1.013723648,,5.601464155,-1.876227646,,,,8.870077042,2.130978659,5.079216684,,,,0.0,,,,,,,,,,,0.68133271,-0.2,,-1.514635805,,9.245517746,,8.283964907,0.312574254,0.385513311,,0.419539123,1.071438821,,10.80701173,,3.195159981,0.0,,0.539084863,1.617285925,,,,,1.5,-1.0,-4.0,3.8,,,,,0.707559772,,,,,-1.295817953,,10.08046991,-2.584123118,,,3.822121282,,7.503518594,,,,,0.999800875,,0.13,6.884600554,,,,,,,261.7,0.0,252.6,284.5,,,0.0449372338,0.06,0.0159855048,-0.02,0.0957767916,0.02,,4.5790663,,,5.699256315,-1.876824475,60.85
1987-06-30,,0.469086634,,,1.210031476,,,,,,,,-0.095800742,0.029660389,,3.629815871,-1.912104145,,,,-1.06667678,3.405214275,1.699757637,,,,-1.0,,,,,,,,,,,0.998759863,0.7,,-1.698681324,11.35938013,5.13808474,,-2.628566439,0.54701636,-0.26361163,,-0.820743272,-1.206179466,,-26.82828882,,3.09622256,-1.369884436,,0.536194314,1.063839821,,,,,-1.3,-1.0,4.0,-0.1,21.06273791,16.41222223,50.52674961,46.88498062,0.173953285,,,,,3.186815374,,-4.913268858,-15.85232272,,,1.857638557,,-2.439145312,,,,,0.482261581,,0.0,6.930343346,24.18568686,4.811408479,44.63316019,,,,261.0,0.0,255.7,285.6,,,-0.0453526459999999,0.05,-0.00663464575,0.0,0.121157399,0.0,,3.169334682,,,-1.892391148,-2.042055524,81.66
1987-07-31,,0.064419498,,,-1.458660623,,,,,,,,-0.287954126,-0.148389996,,-3.629815871,1.532597048,,,,-0.537635704,-0.583943265,-0.751883241,,,,0.0,,,,,,,,,,,1.162381413,0.0,,-0.759381847,,-0.396732871,,2.345899005,0.412991013,0.304105658,,0.0,0.134740645,,12.72475738,,-2.469261259,0.687287929,,1.063839821,1.052641299,,,,,-6.3,-4.0,-5.0,1.9,,,,,0.791320012,,,,,-8.853726284,,-2.181904739,4.79133557,,,-0.615386557,,0.0,,,,,1.396396855,,0.0,16.46974369,,,,,,,258.8,0.0,249.3,286.2,,,0.0760899372,0.1,0.108366284,0.14,0.1988128234,0.18,,3.75322981,,,19.77602225,-0.284099837,61.28
1987-08-31,,0.322269721,,,-2.182160997,,,,,,,,1.399959231,0.059382425,,-15.54485385,-9.151510884,,,,-33.27057538,-7.444590513,-15.69848811,,,,0.0,,,,,,,,,,,1.195426438,1.0,,0.003712297,,-19.42554749,,-3.782959049,0.1029818,-0.222920348,,0.501254182,-0.134740645,,6.244505838,,-9.156719353,-3.484673133,,0.52770571,-0.524935589,,,,,-27.4,-6.0,-14.0,-16.2,,,,,-0.027390016,,,,,13.88717008,,-19.41560144,-17.88189262,,,-11.77830357,,-24.34092488,,,,,0.968980925,,-0.52,-2.390967372,,,,,,,256.5,-10.5,177.5,227.2,,,-0.03212556425,0.025,-0.03112283725,-0.075,0.15597715175,-0.025,,-1.261384164,,,-1.522744027,-0.043323343,47.135
1987-09-30,,0.852386546,,,4.195364201,,,,,,,,0.661315589,0.237177698,,14.56732896,-6.010392407,,,,31.91370246,8.609086933,15.13084231,,,,0.0,,,,,,,,,,,1.870138463,-1.4,,-0.218021542,6.140747544,24.41745758,,5.075852371,0.504014507,0.828371239,,0.518652669,2.397983465,,1.246154415,,10.39897135,-5.841076216,,0.524935589,0.0,,,,,29.8,14.0,33.0,-10.5,4.475372306,-2.054202891,-13.13493866,0.120370949,0.898168947,,,,,2.434902901,,10.9814866,0.0,,,10.53605157,,12.56262131,,,,,1.510703653,,-0.28,2.364186164,18.09434046,32.5503686,5.145613962,,,,,,,,,,-0.0729421445,-0.05,-0.05792530075,-0.1,-0.014394424,-0.075,,2.85912769,,,5.022335001,-0.198289816,66.9525
