date,KOUN%TOTQ,KOEMPTOTO,KOEMPWREP,KOPOPACTE,KOHWRWEMP,KOIMPCONA,KOWRCCNSE,KOWRCDURE,KOWRCSEME,KOWRCNODE,KOCREU..A,KOCSMTTOA,KOCONPRCF,KOCPCOREF,KOCPEXFEF,KOMSCONGG,KOPICONGG,KOSIAI..E,KOSIAWRTE,KOSIAHOTE,KOMPCONDG,KOMPCONNG,KOMPCONGG,KOBSIHAPR,KOBSIBNER,KOBSIBNMR,KOBSIEMAR,KOCNFCONR,KOCSHHLMR,KOCSHHEMR,KOCSPHIMR,KOCSPSPMR,KOCSECDMR,KOCSECEMR,KOCSEMEMR,KOCSEOHSR,KOCSEOHDR,KODBLNHSA,KOCALL.,KOLRLTHH,KOUS$...,KOCNPER.D,KOEXPGDSA,KOEXCHINA,KOIMPGDSA,KOEXPPRCF,KOIMPPRCF,KONETTRDF,KOPROPRCF,KOPPSRM.F,KOEQUIPTE,KONEWCONA,KOVALCONA,KOPSMANUG,KOPIMANUG,KOIPALL.G,KOCYLEADR,KOROCOINF,KOBSESI.R,KOCOBUSIR,KOCNFBUSR,KOBSIXMER,KOBSIBCOQ,KOBFDSAAF,KOBFXSAAF,KOBSIBCEQ,KOGDP...D,KOCNGOV.D,KOEXNGS.D,KOIMNGS.D,KOEMPMANF,KOEMPCONF,KOIMPGDDA,KOEQUIMAE,KOEQUITTE,KOCONPMTH,KOCONSTRP,KOMSCAPGG,KOPICAPGG,KOSIARRLE,KOSSBFMBE,KOIPMIMAG,KOMPRI30G,KOMPCAPGG,KOBSIIMPR,KOBSIIMER,KOBFINAAF,KOBUSINVR,KODBLNEQA,KOLRLTCO,KO3YEARC,KOSHRPRCF,KOGFCF..D,KOGCFCNSD,KOGCFFNVD,KORFBEV,KORWHLS,KORMCMP,KORELEC,KORCNST,KORMACH
1985-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.017535737,0.0,-0.018657118,-0.1,0.066586202,0.0
1985-08-31,,0.063674119,,,-0.33358439,,,,,,,,0.169004603,0.443459707,,-0.933132743,3.491626511,,,,1.954459607,1.384789686,1.204833852,,,,0.0,,,,,,,,,,,1.563355623,0.0,,0.977671751,,-4.961444736,,0.216193771,0.401647292,0.291302744,,0.0,0.0,,-5.205238173,,0.92166551,3.36166108,,0.634922768,0.647251451,,,,,2.7,0.0,-5.0,5.4,,,,,0.792640692,,,,,-8.942588692,,-4.706751086,12.5163143,,,1.834913867,,-8.004270767,,,,,1.528872055,,0.0,-0.767239159,,,,,,,,,
1985-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025750152,0.0,-0.02667957,0.0,0.038545108,0.0
1985-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014127097,0.0,-0.00691068,0.0,0.067288409,0.0
1985-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010514124,0.0,-0.001874116,0.0,0.047415032,0.0
1985-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.013399084,0.0,0.004711835,0.0,0.032768687,0.0
1985-09-30,,0.850125934,,,-0.359915879,,,,,,,,1.108323688,0.410030538,,1.550418654,5.251803428,,,,5.64413109,0.782782862,1.48591144,,,,0.0,,,,,,,,,,,1.812166431,0.0,,0.977178938,9.699525427,9.755262222,,-1.130216768,0.250212811,-0.228809252,,0.3168947,-0.484804231,,-13.8117194,,1.818231908,0.0,,1.257878221,0.0,,,,,2.1,-1.0,10.0,-2.8,5.353693642,0.489151433,12.80005791,-11.14862257,0.579337745,,,,,16.48955035,,1.197619105,-9.699226599,,,0.0,,1.036278704,,,,,2.144615418,,0.0,1.874782421,25.73777162,18.21452887,34.31286658,,,,,,
1985-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007082345,0.0,0.024916034,0.0,0.079520164,0.0
1985-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000985,0.0,0.013700645,0.0,0.072274503,0.0
1985-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005406005,0.0,0.016425639,0.0,0.095024561,0.0
1985-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008575595,0.0,0.030330819,0.1,0.084005297,0.0
1985-10-31,,0.803680233,,,0.937585141,,,,,,,,0.3001503,-0.125984269,,0.613498857,0.0,,,,-2.469261259,-0.195122013,0.0,,,,0.0,,,,,,,,,,,0.973579007,0.0,,0.072876903,,2.514755404,,7.958469983,0.309396923,0.0,,0.098824003,0.186741417,,4.487232856,,0.896866998,0.0,,0.623054975,0.643089033,,,,,2.4,3.0,-5.0,-3.2,,,,,1.05229489,,,,,20.67579649,,1.183445765,-1.869213301,,,0.904983552,,0.0,,,,,1.809477032,,0.3,1.415320266,,,,,,,,,
1985-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.031285744,0.0,0.007415713,0.1,0.036912505,0.0
1985-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.043206569,0.0,0.019885964,0.1,0.007683044,0.0
1985-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.024310117,0.0,0.069752051,0.2,0.017032004,0.0
1985-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039330869,0.0,0.069046078,0.1,-0.024989958,0.0
1985-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.026166219,0.0,0.088536374,0.1,-0.043249024,0.1
1985-11-30,,0.277384317,,,-0.818254987,,,,,,,,-1.206044769,-0.2524457,,2.417036093,-5.743204909,,,,2.469261259,2.507363755,2.043866768,,,,0.0,,,,,,,,,,,1.174285072,-0.3,,-0.141317416,,14.19021176,,17.22661125,-0.299401421,0.539980544,,-0.594414272,1.002421611,,15.32116364,,0.888894742,-3.36166108,,0.619197025,1.273902578,,,,,-7.9,-3.0,4.0,-1.3,,,,,0.165615458,,,,,-47.09481075,,-6.062462182,-2.871010588,,,-0.904983552,,-4.211148535,,,,,2.558665628,,0.0,5.489245941,,,,,,,,,
1985-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006340913,0.1,0.137308174,0.1,-0.057150644,0.1
1985-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019814636,0.1,0.163622394,0.2,-0.064819355,0.1
1985-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008867192,0.1,0.094949136,0.0,-0.00226761,0.1
1985-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040722986,0.1,0.139067736,0.1,0.033972133,0.1
1985-12-31,,-1.18449948,,,1.029415116,,,,,,,,0.604840554,0.47281412,,4.380262266,0.98040001,,,,10.9619725,2.446029757,4.243918328,,,,0.0,,,,,,,,,,,1.815435141,-0.7,,-0.011224226,6.876154594,21.50105048,,17.685266,0.239592807,0.825087189,,0.49559027,0.662741748,,-14.26721719,,6.010392407,1.694955831,,0.615386557,1.257878221,,,,,2.9,6.0,4.0,1.8,12.51255947,4.532140854,-11.3574334,-0.507893985,1.060234248,,,,,-7.471733982,,10.66097351,9.265883048,,,7.020425867,,15.87483891,,,,,3.936785174,,0.4,9.314566356,15.32019437,13.95312644,19.51841557,,,,,,
1986-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033581287,0.1,0.103229937,0.1,0.057581315,0.1
1986-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052436657,0.0,0.074592671,0.1,0.007341686,0.1
1986-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055108108,0.0,0.044701056,0.1,-0.028136792,0.0
