Model,SeriesID,SeriesName,Frequency,Block-Global,Block-Consumption,Block-Invstestment,Block-Exprtort,Block-Nominal,Block-Labor,Block-riskapp,Transformation,Units,Category,Release,note,"Model Production","Model Investment","Model Consumption",구분,데이터이름
1,KOIPMIMAG,"Production, Mining and Manufacturing, SA",m,1,0,0,0,0,0,0,chg,Index,Production,30,,1,1,0,산업생산,광공업생산지수(계절조정)
1,KOIPCHXPG,"Production, Chemicals and Chemical Products (Except Pharmaceuticals)",m,1,0,0,0,0,0,0,chg,Index,Production,30,,1,0,0,산업생산,"생산(화학제품, 의약 제외)"
1,KOIPCOMPG,"Production, Electrical Components, Computer, Radio",m,1,0,0,0,0,0,0,chg,Index,Production,30,,1,0,0,산업생산,생산(전자부품·컴퓨터·영상·통신)
1,KOIPVECHG,"Production, Motor Vehicles, Trailers and Semi Trailers",m,1,0,0,0,0,0,0,chg,Index,Production,30,,1,0,0,산업생산,생산(자동차 및 트레일러)
1,KOIPXBSBG,"Production, Other Transport Equipment, Building of Ships and Boats",m,1,0,0,0,0,0,0,chg,Index,Production,30,,1,0,0,산업생산,생산(기타 운송장비·조선)
1,KOMPRI30G,Production of Total Construction,m,1,0,1,0,0,0,0,chg,Index,Production,30,,1,1,0,산업생산,생산(건설업)
1,KOMPCAPGG,"Production, Capital Goods, SA",m,1,0,1,0,0,0,0,chg,Index,Production,30,,0,1,0,산업생산,"생산(자본재, 계절조정)"
1,KOMPCONDG,"Production, Consumer Durable Goods, SA",m,1,0,1,0,0,0,0,chg,Index,Production,30,,0,1,1,산업생산,"생산(내구재, 계절조정)"
1,KOMPCONNG,"Production, Consumer Non-Durable Goods, SA",m,1,1,0,0,0,0,0,chg,Index,Production,30,,0,0,1,산업생산,"생산(비내구재, 계절조정)"
1,KOMPCONGG,"Production, Consumer Goods, SA",m,1,1,0,0,0,0,0,chg,Index,Production,30,,0,0,1,산업생산,"생산(소비재, 계절조정)"
1,KOCYLEADR,"Leading Index, Index",m,1,0,0,0,0,0,0,chg,Index,Production,30,,1,1,0,산업생산,경기선행지수
1,KOROCOINF,"Coincident Index, Index",m,1,0,0,0,0,0,0,chg,Index,Production,30,,1,0,0,산업생산,경기동행지수
1,KOBSESI.R,"BoK, BSI, Economic Sentiment Index",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-5,,1,1,0,기업경기,기업경기실사지수(BSI) 종합
1,KOCOBUSIR,"BoK, BSI, Business Conditions, Composite Business Sentiment Index, KRW",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-5,,1,1,0,기업경기,기업경기실사지수(BSI) 기업경기전망
1,KOBSIBAPR,"BoK, BSI, Business Conditions, All Industries, Actual",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-5,,1,0,0,기업경기,경기실적(전산업)
1,KOBSISAPR,"BoK, BSI, Sales Growth, All Industries, Actual",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-5,,0,0,0,기업경기,매출 증감(전산업)
1,KOBSIHAPR,"BoK, BSI, Employment Conditions, All Industries, Actual",m,1,0,0,0,0,1,0,chg,Index,"Survey, Bsnss",-5,,0,0,1,기업경기,고용 상황(전산업)
1,KOBSIYAPR,"BoK, BSI, Profitability, All Industries, Actual",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-5,,0,0,0,기업경기,수익성(전산업)
1,KOBSIFAPR,"BoK, BSI, Financial Conditions, All Industries, Actual",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-5,,0,0,0,기업경기,자금 사정(전산업)
1,KOBSIBMPR,"BoK, BSI, Business Conditions, Manufacturing, Actual",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-5,,0,0,0,기업경기,경기실적(제조업)
1,KOBSIIMPR,"BoK, BSI, Facility Investment, Manufacturing, Actual",m,1,0,1,0,0,0,0,chg,Index,"Survey, Bsnss",-5,,0,1,0,기업경기,설비투자(제조업 실적)
1,KOBSIBNPR,"BoK, BSI, Business Conditions, Non-Manufacturing, Actual",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-5,,0,0,0,기업경기,경기실적(비제조업)
1,KOCNFBUSR,"BoK, BSI, Business Conditions, All Industries, Forecast",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-35,,1,0,0,기업경기,경기전망(전산업)
1,KOBSIIMER,"BoK, BSI, Facility Investment, Manufacturing, Forecast",m,1,0,1,0,0,0,0,chg,Index,"Survey, Bsnss",-35,,0,1,0,기업경기,설비투자(제조업 전망)
1,KOBSIXMER,"BoK, BSI, Export Sales Growth, Manufacturing, Forecast",m,1,0,0,1,0,0,0,chg,Index,"Survey, Bsnss",-35,,0,0,0,기업경기,수출매출 전망(제조업)
1,KOBSIRMER,"BoK, BSI, Operation Rate, Manufacturing, Forecast",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-35,,0,0,0,기업경기,가동률 전망(제조업)
1,KOBSIBNER,"BoK, BSI, Business Conditions, Non-Manufacturing, Forecast",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-35,,0,0,1,기업경기,경기전망(비제조업)
1,KOBSIBCOQ,"FKI, Business Conditions, All Industries, Actual, SA",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-5,,1,1,0,기업경기,"FKI 기업경기지수(전산업, 계절조정)"
1,KOBSIBMAR,"FKI, Business Conditions, Manufacturing, Actual",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-5,,0,0,0,기업경기,FKI 기업경기지수(제조업)
1,KOBSIBNMR,"FKI, Business Conditions, Non-Manufacturing, Actual",m,1,0,0,0,0,0,0,chg,Index,"Survey, Bsnss",-5,,0,0,1,기업경기,FKI 기업경기지수(비제조업)
